Date,Racism,Sexual minorities,Gender minorities,Homosexuality,Homophobia,Misogyny,Intersectionality,Toxic,Woke,Cancel,Gender roles,Gender identity,Feminism,Masculinity,Other gender,Discrimination,Equality,Rainbow,Prime Minister,Government,Parliament,Agriculture,Industry,Climate,NumOfArticles
2022-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,2,1,29
2022-06-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,1,2,2,35
2022-06-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,9,0,2,2,4,55
2022-06-14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,7,3,3,3,6,67
2022-06-15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,4,1,7,1,77
2022-06-16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,12,6,1,1,8,80
2022-06-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,4,0,6,6,70
2022-06-18,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,2,5,3,2,2,4,39
2022-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,3,2,37
2022-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,7,0,6,2,68
2022-06-21,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,8,11,1,2,5,62
2022-06-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,9,5,0,4,3,66
2022-06-23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8,5,5,1,0,2,58
2022-06-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,3,32
2022-06-25,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,2,1,27
2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,3,2,1,3,33
2022-06-27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,2,1,0,6,56
2022-06-28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,5,3,0,5,4,52
2022-06-29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,10,2,1,3,4,56
2022-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,3,8,5,57
2022-07-01,0,2,4,1,1,0,0,0,0,0,0,1,0,0,2,3,4,4,2,4,0,3,3,3,74
2022-07-02,0,2,1,1,0,1,0,0,0,0,2,1,0,0,1,1,4,1,0,4,2,2,4,3,44
2022-07-03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,4,1,2,0,1,37
2022-07-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,7,13,7,0,3,6,65
2022-07-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,6,3,0,0,1,54
2022-07-06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12,1,1,1,2,63
2022-07-07,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,14,7,0,2,2,55
2022-07-08,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1,1,2,7,15,2,1,5,4,73
2022-07-09,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,7,0,4,1,1,37
2022-07-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,1,1,2,2,36
2022-07-11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4,8,2,2,4,4,54
2022-07-12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,6,3,3,2,1,54
2022-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,11,1,0,5,5,58
2022-07-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,2,5,5,7,74
2022-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,10,3,0,2,5,61
2022-07-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,33
2022-07-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,3,0,33
2022-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,1,2,4,2,67
2022-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,3,1,4,4,50
2022-07-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,5,2,58
2022-07-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,2,0,4,3,65
2022-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,20
2022-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,31
2022-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,37
2022-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,4,0,0,3,54
2022-07-26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,11,4,3,3,7,61
2022-07-27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,3,0,3,1,61
2022-07-28,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,3,2,3,4,10,5,2,5,3,59
2022-07-29,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,7,1,0,2,7,60
2022-07-30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,1,4,39
2022-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,1,31
2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,7,4,1,3,2,60
2022-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,12,3,0,3,2,53
2022-08-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,1,6,3,55
2022-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,5,2,3,7,65
2022-08-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,11,6,0,9,6,61
2022-08-06,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,6,1,2,4,5,36
2022-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,36
2022-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,9,2,0,1,1,51
2022-08-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,6,3,0,4,6,66
2022-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,3,0,60
2022-08-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,7,4,1,6,4,57
2022-08-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,2,6,49
2022-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,3,2,34
2022-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,2,1,2,4,39
2022-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,10,2,1,2,2,57
2022-08-16,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,5,14,5,1,5,4,72
2022-08-17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,17,8,1,5,5,77
2022-08-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,7,7,1,4,3,74
2022-08-19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,7,5,1,6,1,68
2022-08-20,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,3,0,40
2022-08-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,2,2,33
2022-08-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,6,0,3,3,66
2022-08-23,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,14,19,12,2,5,6,75
2022-08-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13,13,7,0,1,4,75
2022-08-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,15,9,3,2,5,68
2022-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,0,1,0,4,71
2022-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,3,3,44
2022-08-28,2,2,2,2,0,2,0,0,0,0,0,1,3,0,1,3,0,2,1,6,0,0,5,3,36
2022-08-29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,2,1,5,3,72
2022-08-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,13,7,3,5,3,76
2022-08-31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,15,3,2,3,5,74
2022-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,21,2,0,6,5,66
2022-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,0,2,1,30
2022-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,12
2022-09-04,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,1,7,4,0,4,2,35
2022-09-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,3,2,9,3,73
2022-09-06,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,13,4,3,7,4,72
2022-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,1,9,1,80
2022-09-08,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,14,19,14,2,8,8,85
2022-09-09,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,9,4,1,6,2,63
2022-09-10,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,3,2,2,6,4,0,0,4,37
2022-09-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,2,36
2022-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,13,7,1,3,2,63
2022-09-13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,7,11,9,0,6,3,72
2022-09-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,12,8,0,5,5,76
2022-09-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,13,7,2,9,7,79
2022-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,11,3,4,3,6,75
2022-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,3,0,2,6,45
2022-09-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,8,2,0,4,1,34
2022-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,17,8,1,5,5,75
2022-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,6,1,4,6,73
2022-09-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,15,9,3,6,5,84
2022-09-22,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,5,14,11,1,4,2,85
2022-09-23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,10,1,0,5,3,72
2022-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,1,1,37
